iter	Passed	Remaining
0	174	174482
1	197	98764
2	223	74270
3	243	60668
4	272	54160
5	292	48527
6	314	44578
7	336	41664
8	358	39516
9	389	38607
10	459	41307
11	489	40341
12	519	39432
13	542	38231
14	571	37512
15	597	36748
16	619	35813
17	643	35091
18	664	34286
19	686	33644
20	713	33280
21	738	32847
22	771	32752
23	807	32832
24	834	32558
25	869	32556
26	911	32841
27	944	32794
28	983	32925
29	1029	33299
30	1065	33305
31	1101	33334
32	1135	33259
33	1165	33102
34	1190	32824
35	1211	32434
36	1235	32157
37	1255	31796
38	1289	31768
39	1315	31566
40	1341	31385
41	1365	31137
42	1389	30914
43	1418	30825
44	1443	30629
45	1462	30333
46	1493	30293
47	1516	30080
48	1538	29856
49	1558	29613
50	1579	29394
51	1605	29274
52	1626	29054
53	1655	29006
54	1677	28814
55	1698	28626
56	1729	28607
57	1757	28538
58	1781	28421
59	1808	28336
60	1830	28184
61	1855	28071
62	1877	27924
63	1902	27817
64	1924	27682
65	1946	27542
66	1969	27429
67	1999	27402
68	2022	27286
69	2057	27329
70	2089	27342
71	2119	27311
72	2143	27219
73	2167	27119
74	2189	27001
75	2211	26887
76	2234	26789
77	2258	26695
78	2278	26564
79	2300	26452
80	2321	26343
81	2348	26288
82	2380	26295
83	2410	26287
84	2434	26201
85	2455	26098
86	2480	26030
87	2519	26108
88	2542	26029
89	2557	25858
90	2569	25665
91	2580	25468
92	2591	25275
93	2601	25069
94	2610	24864
95	2619	24668
96	2628	24470
97	2639	24297
98	2648	24104
99	2658	23923
100	2666	23733
101	2676	23559
102	2685	23387
103	2694	23216
104	2704	23048
105	2712	22879
106	2723	22727
107	2733	22573
108	2742	22419
109	2751	22264
110	2760	22107
111	2769	21958
112	2779	21819
113	2789	21680
114	2798	21536
115	2807	21396
116	2817	21260
117	2825	21118
118	2834	20985
119	2843	20850
120	2852	20724
121	2861	20596
122	2871	20470
123	2879	20345
124	2888	20221
125	2898	20108
126	2906	19979
127	2914	19858
128	2922	19730
129	2930	19611
130	2937	19487
131	2946	19375
132	2954	19257
133	2962	19147
134	2970	19034
135	2979	18926
136	2986	18813
137	2994	18704
138	3002	18596
139	3009	18488
140	3017	18382
141	3025	18279
142	3033	18180
143	3041	18081
144	3049	17980
145	3057	17882
146	3064	17782
147	3072	17686
148	3081	17596
149	3089	17506
150	3097	17416
151	3105	17325
152	3113	17235
153	3121	17149
154	3130	17066
155	3139	16985
156	3147	16899
157	3156	16820
158	3164	16737
159	3173	16658
160	3181	16578
161	3189	16499
162	3197	16421
163	3206	16347
164	3214	16267
165	3224	16201
166	3232	16125
167	3241	16054
168	3251	15986
169	3260	15919
170	3269	15848
171	3277	15777
172	3286	15710
173	3295	15646
174	3305	15584
175	3314	15518
176	3322	15449
177	3331	15385
178	3340	15320
179	3349	15257
180	3359	15202
181	3368	15138
182	3376	15074
183	3384	15009
184	3392	14943
185	3400	14882
186	3408	14820
187	3418	14765
188	3426	14703
189	3435	14647
190	3443	14585
191	3452	14529
192	3460	14471
193	3469	14416
194	3477	14357
195	3487	14304
196	3495	14249
197	3504	14193
198	3512	14139
199	3520	14082
200	3529	14028
201	3536	13972
202	3545	13919
203	3553	13865
204	3561	13812
205	3569	13757
206	3577	13704
207	3585	13653
208	3593	13600
209	3602	13552
210	3611	13503
211	3619	13452
212	3627	13401
213	3635	13353
214	3644	13307
215	3653	13261
216	3662	13214
217	3671	13170
218	3680	13126
219	3690	13082
220	3698	13037
221	3707	12994
222	3717	12953
223	3726	12910
224	3735	12865
225	3744	12823
226	3752	12779
227	3761	12736
228	3770	12693
229	3780	12655
230	3788	12610
231	3797	12572
232	3806	12529
233	3814	12485
234	3821	12440
235	3830	12399
236	3839	12359
237	3847	12317
238	3855	12276
239	3864	12237
240	3872	12196
241	3880	12155
242	3889	12116
243	3897	12076
244	3906	12037
245	3914	11997
246	3922	11958
247	3930	11917
248	3939	11880
249	3947	11843
250	3956	11806
251	3963	11766
252	3973	11731
253	3981	11694
254	3990	11658
255	3998	11621
256	4008	11589
257	4017	11552
258	4026	11519
259	4035	11485
260	4044	11452
261	4054	11419
262	4062	11383
263	4071	11351
264	4080	11316
265	4089	11285
266	4098	11251
267	4106	11217
268	4115	11184
269	4125	11153
270	4134	11121
271	4144	11091
272	4152	11058
273	4160	11024
274	4170	10994
275	4179	10963
276	4188	10931
277	4196	10898
278	4205	10868
279	4214	10837
280	4222	10803
281	4229	10768
282	4237	10737
283	4246	10705
284	4254	10673
285	4261	10639
286	4269	10607
287	4277	10573
288	4284	10540
289	4293	10511
290	4301	10479
291	4309	10448
292	4316	10415
293	4324	10384
294	4332	10353
295	4340	10323
296	4348	10291
297	4356	10261
298	4363	10230
299	4371	10201
300	4379	10170
301	4387	10141
302	4395	10111
303	4403	10081
304	4411	10053
305	4420	10024
306	4427	9994
307	4435	9965
308	4442	9935
309	4450	9906
310	4458	9876
311	4466	9849
312	4474	9820
313	4481	9791
314	4489	9762
315	4497	9734
316	4506	9708
317	4513	9680
318	4521	9653
319	4529	9624
320	4537	9597
321	4544	9568
322	4552	9541
323	4559	9513
324	4567	9486
325	4574	9458
326	4582	9431
327	4590	9404
328	4598	9378
329	4605	9351
330	4613	9325
331	4621	9298
332	4629	9272
333	4637	9246
334	4644	9220
335	4653	9195
336	4662	9172
337	4670	9147
338	4679	9124
339	4688	9102
340	4699	9082
341	4708	9059
342	4718	9037
343	4727	9014
344	4735	8991
345	4743	8966
346	4751	8941
347	4759	8917
348	4767	8893
349	4776	8870
350	4784	8846
351	4793	8825
352	4801	8801
353	4811	8779
354	4820	8757
355	4828	8734
356	4836	8710
357	4844	8687
358	4852	8663
359	4861	8641
360	4869	8619
361	4878	8597
362	4886	8575
363	4895	8553
364	4903	8530
365	4913	8510
366	4922	8490
367	4931	8469
368	4942	8451
369	4951	8430
370	4961	8412
371	4970	8390
372	4980	8372
373	4990	8352
374	5013	8356
375	5041	8367
376	5057	8357
377	5070	8343
378	5083	8328
379	5094	8311
380	5104	8292
381	5113	8273
382	5123	8253
383	5132	8233
384	5143	8216
385	5153	8197
386	5164	8180
387	5177	8166
388	5188	8150
389	5201	8135
390	5211	8117
391	5222	8100
392	5233	8083
393	5243	8064
394	5254	8047
395	5264	8029
396	5273	8010
397	5285	7994
398	5294	7974
399	5304	7956
400	5313	7936
401	5322	7918
402	5333	7900
403	5342	7882
404	5353	7864
405	5362	7846
406	5375	7832
407	5385	7814
408	5395	7795
409	5407	7781
410	5418	7765
411	5428	7747
412	5440	7732
413	5450	7714
414	5459	7696
415	5470	7679
416	5479	7661
417	5489	7643
418	5499	7625
419	5507	7605
420	5516	7587
421	5524	7567
422	5533	7548
423	5541	7528
424	5550	7509
425	5559	7490
426	5568	7472
427	5576	7452
428	5585	7433
429	5594	7415
430	5604	7398
431	5612	7379
432	5622	7362
433	5631	7344
434	5640	7326
435	5650	7309
436	5658	7290
437	5667	7271
438	5675	7253
439	5685	7236
440	5695	7219
441	5704	7201
442	5712	7182
443	5721	7164
444	5729	7146
445	5743	7134
446	5752	7116
447	5760	7097
448	5768	7079
449	5776	7060
450	5785	7042
451	5793	7023
452	5801	7005
453	5810	6987
454	5818	6969
455	5826	6951
456	5835	6933
457	5844	6916
458	5853	6898
459	5861	6881
460	5869	6863
461	5878	6845
462	5887	6828
463	5897	6812
464	5905	6793
465	5914	6777
466	5921	6758
467	5931	6742
468	5939	6724
469	5947	6706
470	5955	6688
471	5963	6671
472	5972	6654
473	5981	6637
474	5989	6620
475	5998	6603
476	6006	6585
477	6015	6569
478	6024	6552
479	6033	6535
480	6041	6518
481	6049	6501
482	6057	6484
483	6066	6467
484	6075	6450
485	6083	6433
486	6092	6417
487	6101	6401
488	6110	6385
489	6118	6368
490	6127	6351
491	6135	6334
492	6144	6319
493	6153	6302
494	6161	6285
495	6169	6269
496	6177	6252
497	6193	6243
498	6201	6226
499	6209	6209
500	6217	6192
501	6225	6176
502	6233	6159
503	6242	6142
504	6249	6125
505	6257	6109
506	6265	6092
507	6273	6075
508	6281	6058
509	6289	6042
510	6297	6025
511	6305	6010
512	6312	5993
513	6321	5976
514	6329	5960
515	6337	5944
516	6344	5927
517	6352	5911
518	6360	5894
519	6368	5878
520	6376	5862
521	6387	5849
522	6396	5833
523	6404	5818
524	6413	5802
525	6422	5787
526	6432	5772
527	6439	5756
528	6447	5740
529	6455	5724
530	6462	5708
531	6471	5692
532	6478	5676
533	6487	5661
534	6496	5646
535	6504	5630
536	6511	5614
537	6520	5599
538	6527	5582
539	6536	5567
540	6543	5551
541	6551	5536
542	6559	5520
543	6567	5505
544	6575	5489
